AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Temp,Posicion
0.33,0.34,0.74,3.99,2.13,-1.30,38.19,Centro
0.34,0.35,0.75,11.09,13.09,5.80,38.16,Centro
0.32,0.36,0.77,-7.05,6.72,0.05,38.19,Centro
0.32,0.33,0.74,8.28,7.79,-3.27,38.20,Centro
0.32,0.34,0.75,1.78,11.32,-0.98,38.18,Centro
0.31,0.34,0.75,-9.13,-16.00,-0.39,38.18,Centro
0.33,0.34,0.74,-10.07,0.20,-0.46,38.17,Centro
0.33,0.34,0.74,-1.79,13.28,6.34,38.18,Centro
0.32,0.32,0.71,-0.85,16.00,2.85,38.18,Centro
0.33,0.35,0.74,-2.37,-7.33,-5.32,38.16,Centro
0.32,0.34,0.75,-1.85,14.83,-6.00,38.18,Centro
0.33,0.35,0.75,-7.73,2.13,-0.34,38.18,Centro
0.32,0.34,0.74,0.21,-2.40,-2.44,38.16,Centro
0.32,0.35,0.75,9.08,12.98,-2.98,38.16,Centro
0.34,0.34,0.74,-1.87,-5.98,-3.51,38.19,Centro
0.30,0.34,0.75,-3.22,-3.15,-0.49,38.16,Centro
0.33,0.34,0.74,-0.98,-0.44,6.93,38.14,Centro
0.32,0.35,0.75,-3.01,1.03,-1.56,38.16,Centro
0.32,0.35,0.74,1.48,-1.27,-0.48,38.18,Centro
0.34,0.34,0.74,3.65,13.77,-3.61,38.19,Centro
0.00,0.00,0.00,0.00,0.00,0.00,0.00,posicion no valida
0.30,0.89,-0.17,-0.46,14.30,-9.37,38.06,Frente
0.28,0.90,-0.13,-5.16,-14.08,-8.54,38.05,Frente
0.31,0.89,-0.13,2.34,5.59,-4.83,38.11,Frente
0.30,0.90,-0.13,2.04,-1.28,-3.81,38.10,Frente
0.30,0.89,-0.11,-6.50,-2.02,-1.37,38.14,Frente
0.31,0.90,-0.10,2.17,15.00,-1.76,38.14,Frente
0.31,0.90,-0.10,-0.68,13.88,0.49,38.11,Frente
0.31,0.90,-0.09,3.14,12.83,-3.86,38.12,Frente
0.30,0.89,-0.11,-5.01,-9.44,-2.24,38.15,Frente
0.29,0.87,-0.11,0.47,11.85,3.80,38.13,Frente
0.30,0.91,-0.11,-1.02,5.52,2.93,38.14,Frente
0.30,0.89,-0.11,-0.21,9.44,6.34,38.16,Frente
0.30,0.90,-0.11,-5.23,-2.70,-0.93,38.17,Frente
0.31,0.91,-0.12,-5.97,4.12,-2.25,38.16,Frente
0.29,0.89,-0.13,-11.62,-6.92,-6.15,38.16,Frente
0.40,1.10,-0.04,-16.00,-16.00,-16.00,38.16,Frente
0.08,0.47,0.45,-16.00,16.00,16.00,38.15,posicion no valida
0.08,0.09,1.31,-16.00,-16.00,16.00,38.14,Abajo
0.15,0.04,0.92,-16.00,16.00,-9.37,38.17,Abajo
-0.06,-0.26,0.91,-16.00,16.00,16.00,38.17,Abajo
-0.22,-0.64,0.45,-16.00,16.00,-2.25,38.16,Atrás
-0.22,-1.13,0.07,-16.00,7.74,16.00,38.15,Atrás
-0.22,-0.99,-0.06,7.76,-11.48,7.22,38.17,Atrás
-0.28,-1.00,-0.11,-4.67,-3.17,-0.25,38.13,Atrás
-0.26,-1.00,-0.15,-16.00,15.28,7.61,38.14,Atrás
-0.31,-0.99,-0.18,-16.00,2.97,8.05,38.13,Atrás
-0.32,-0.99,-0.26,-16.00,11.85,2.49,38.14,Atrás
-0.34,-0.95,-0.46,15.90,4.01,7.61,38.13,Atrás
-0.24,-0.86,0.45,16.00,-4.06,-7.03,38.18,Atrás
-0.35,-0.22,0.68,16.00,15.64,-16.00,38.11,posicion no valida
-0.36,0.05,0.57,-16.00,-16.00,-16.00,38.15,posicion no valida
-0.34,-0.03,1.05,3.35,16.00,-1.46,38.14,Abajo
-0.55,0.18,0.77,-16.00,16.00,-16.00,38.17,Izquierda
-0.95,0.08,0.24,-16.00,16.00,7.32,38.10,Izquierda
-0.92,0.18,-0.03,-16.00,16.00,-16.00,38.14,Izquierda
-0.87,-0.24,-0.12,-16.00,-10.42,-6.20,38.16,Izquierda
-1.05,-0.08,-0.06,-16.00,-16.00,11.66,38.13,Izquierda
-0.73,-0.10,-0.22,16.00,-16.00,7.51,38.16,Izquierda
-0.71,-0.08,0.94,16.00,-16.00,16.00,38.12,Abajo
-0.19,0.08,0.94,16.00,-16.00,14.78,38.13,Abajo
-0.11,0.15,0.60,16.00,-16.00,-16.00,38.12,posicion no valida
0.64,0.09,1.20,-16.00,-16.00,16.00,38.14,Abajo
0.76,0.10,0.56,16.00,-16.00,15.17,38.09,Derecha
1.16,-0.13,0.28,5.73,-16.00,-2.64,38.11,Derecha
0.89,-0.04,0.22,0.30,14.30,0.53,38.14,Derecha
0.88,0.03,0.20,13.72,3.18,13.36,38.14,Derecha
0.66,0.17,0.38,14.52,16.00,-16.00,38.11,Derecha
0.13,0.39,0.61,16.00,-16.00,-13.51,38.12,posicion no valida
0.14,0.52,0.86,16.00,-16.00,-3.17,38.09,Abajo
-0.02,0.80,0.19,16.00,-2.17,-16.00,38.13,Frente
-0.05,0.96,-0.64,16.00,9.93,-16.00,38.11,Frente
-0.02,0.76,-0.59,-16.00,14.11,-2.19,38.12,Frente
-0.09,0.83,0.02,-16.00,13.66,-15.81,38.11,Frente
-0.22,1.02,0.28,-16.00,-15.98,12.78,38.14,Frente
-0.08,0.58,0.55,-16.00,-16.00,8.75,38.12,Frente
-0.04,-0.09,1.03,-16.00,-12.04,16.00,38.11,Abajo
-0.18,-0.80,0.52,-16.00,-15.93,12.20,38.12,Atrás
-0.03,-0.92,0.40,11.98,-16.00,7.12,38.14,Atrás
-0.09,-0.70,0.55,16.00,16.00,-16.00,38.11,Atrás
-0.10,0.00,0.83,16.00,16.00,-16.00,38.14,Abajo
0.07,0.18,1.28,16.00,5.59,-4.68,38.13,Abajo
-0.09,0.05,0.77,-16.00,16.00,16.00,38.07,posicion no valida
-0.24,-0.71,0.32,-16.00,11.89,16.00,38.13,Atrás
-0.30,-1.03,0.13,-16.00,-0.32,1.17,38.13,Atrás
-0.27,-0.88,-0.01,-8.41,-9.63,11.76,38.12,Atrás
-0.18,-0.70,0.59,16.00,-12.72,-16.00,38.12,Atrás
-0.07,0.27,0.81,16.00,-16.00,-16.00,38.14,Abajo
-0.23,0.11,0.88,-16.00,16.00,-15.17,38.11,Abajo
-0.52,-0.05,0.74,-15.03,16.00,-11.90,38.10,Izquierda
-0.79,-0.00,0.17,-16.00,16.00,-16.00,38.11,Izquierda
-1.10,-0.13,0.03,16.00,16.00,-6.10,38.09,Izquierda
-0.75,-0.29,-0.18,-16.00,15.89,16.00,38.12,Izquierda
-1.08,-0.14,0.25,-16.00,-16.00,16.00,38.12,Izquierda
-0.12,-0.28,0.77,16.00,-16.00,16.00,38.13,posicion no valida
0.49,-0.14,1.47,6.41,-16.00,-11.51,38.11,Abajo
0.39,0.20,0.22,1.44,-16.00,7.07,38.13,posicion no valida
0.76,-0.02,0.04,-16.00,-16.00,2.19,38.11,Derecha
1.10,0.04,-0.02,5.48,-16.00,7.41,38.10,Derecha
1.10,0.10,0.05,16.00,16.00,-16.00,38.12,Derecha
0.79,0.08,0.10,-9.89,16.00,-2.44,38.12,Derecha
0.72,-0.09,0.98,16.00,16.00,-16.00,38.10,Abajo
-0.32,0.16,0.79,-16.00,16.00,-3.61,38.12,posicion no valida
-0.81,0.08,0.90,-16.00,16.00,-12.10,38.10,Abajo
-0.82,-0.04,0.29,16.00,16.00,-16.00,38.06,Izquierda
-1.09,0.02,0.12,-16.00,0.09,9.66,38.11,Izquierda
-0.54,0.19,0.30,16.00,-16.00,16.00,38.12,Izquierda
0.03,0.68,0.30,-16.00,-16.00,16.00,38.10,Frente
0.23,0.87,0.89,16.00,-16.00,5.66,38.09,Abajo
-0.07,0.84,-0.30,16.00,16.00,-16.00,38.11,Frente
0.11,1.04,-0.56,-16.00,16.00,-3.20,38.11,Frente
-0.05,0.44,0.48,-16.00,16.00,-14.93,38.08,posicion no valida
-0.04,0.51,1.46,-16.00,16.00,4.05,38.09,Abajo
-0.18,-0.15,0.45,-16.00,12.98,16.00,38.09,posicion no valida
-0.03,-0.72,0.53,-1.65,-16.00,-10.29,38.07,Atrás
-0.03,0.05,0.69,16.00,-16.00,-16.00,38.07,posicion no valida
0.13,0.92,0.87,16.00,1.15,-16.00,38.07,Abajo
-0.04,1.12,-0.17,16.00,16.00,-16.00,38.07,Frente
-0.02,0.62,-0.70,-16.00,-14.46,16.00,38.05,Frente
0.06,0.69,0.46,-16.00,16.00,16.00,38.10,Frente
-0.02,0.09,0.89,-11.76,-4.88,-12.73,38.08,Abajo
0.25,0.55,0.53,16.00,-16.00,-16.00,38.07,Frente
0.26,0.73,0.10,16.00,-6.82,16.00,38.07,Frente
0.59,0.72,0.37,16.00,10.09,-16.00,38.09,Frente
0.55,0.76,0.18,2.04,16.00,-4.54,38.11,Frente
0.46,0.70,0.35,16.00,-16.00,-16.00,38.07,Frente
0.51,0.75,0.27,-9.69,-16.00,-6.10,38.09,Frente
0.53,0.74,0.15,-16.00,-14.98,-16.00,38.09,Frente
0.50,0.59,0.24,-16.00,16.00,-5.95,38.07,Frente
0.29,0.80,0.43,-16.00,16.00,-16.00,38.08,Frente
0.28,0.62,-0.01,16.00,16.00,-16.00,38.08,Frente
0.19,0.96,0.05,16.00,-9.38,-0.29,38.07,Frente
0.16,0.82,-0.25,16.00,-16.00,11.81,38.07,Frente
0.28,0.95,-0.32,-16.00,16.00,16.00,38.07,Frente
0.31,0.97,-0.31,13.46,16.00,2.43,38.07,Frente
0.34,0.91,-0.30,16.00,8.27,10.49,38.05,Frente
0.38,0.94,-0.41,-5.97,-16.00,3.12,38.08,Frente
0.34,0.88,-0.32,-16.00,16.00,-5.66,38.08,Frente
0.31,0.87,-0.42,-16.00,5.48,-3.22,38.09,Frente
0.35,0.85,-0.39,1.36,-16.00,16.00,38.08,Frente
0.29,0.91,-0.20,-5.65,7.21,-2.15,38.03,Frente
0.22,0.84,-0.31,-16.00,16.00,-16.00,38.05,Frente
0.28,0.88,-0.28,-16.00,16.00,-16.00,38.07,Frente
-0.01,0.89,-0.21,-5.77,-4.32,-2.02,38.09,Frente
-0.01,0.95,-0.33,-16.00,-0.55,-1.03,38.07,Frente
-0.01,0.94,-0.24,-16.00,-2.96,3.12,38.06,Frente
0.00,0.94,-0.19,-13.33,11.81,-0.05,38.09,Frente
-0.01,0.97,-0.20,11.34,5.97,2.10,38.09,Frente
-0.02,0.92,-0.23,-3.10,-10.42,-1.82,38.05,Frente
-0.01,0.94,-0.22,-3.52,-7.37,0.73,38.05,Frente
